_id,Country,Response_measure,date_start,date_end
275,Cyprus,MassGatherAllPartial,2020-11-05T00:00:00,5/16/2021
276,Cyprus,NonEssentialShops,2020-03-16T00:00:00,5/3/2020
277,Cyprus,NonEssentialShops,2021-04-26T00:00:00,5/9/2021
278,Cyprus,NonEssentialShopsPartial,2020-05-04T00:00:00,6/9/2020
279,Cyprus,NonEssentialShopsPartial,2020-12-11T00:00:00,2/7/2021
280,Cyprus,NonEssentialShopsPartial,2021-05-10T00:00:00,NA
281,Cyprus,OutdoorOver100,2020-07-12T00:00:00,11/4/2020
282,Cyprus,OutdoorOver50,2020-06-25T00:00:00,7/11/2020
283,Cyprus,PlaceOfWorship,2020-03-16T00:00:00,5/3/2020
284,Cyprus,PlaceOfWorshipPartial,2020-05-04T00:00:00,6/1/2020
285,Cyprus,PlaceOfWorshipPartial,2021-02-08T00:00:00,NA
286,Cyprus,PrivateGatheringRestrictions,2020-03-31T00:00:00,5/3/2020
287,Cyprus,PrivateGatheringRestrictions,2020-11-05T00:00:00,2/7/2021
288,Cyprus,PrivateGatheringRestrictions,2021-04-26T00:00:00,5/28/2021
289,Cyprus,PrivateGatheringRestrictionsPartial,2021-02-08T00:00:00,4/25/2021
290,Cyprus,PrivateGatheringRestrictionsPartial,2021-05-29T00:00:00,NA
291,Cyprus,QuarantineForInternationalTravellers,2020-06-30T00:00:00,5/9/2021
292,Cyprus,QuarantineForInternationalTravellersPartial,2021-05-10T00:00:00,NA
293,Cyprus,RestaurantsCafes,2020-03-16T00:00:00,5/20/2020
294,Cyprus,RestaurantsCafes,2020-12-11T00:00:00,3/14/2021
295,Cyprus,RestaurantsCafes,2021-04-26T00:00:00,5/9/2021
296,Cyprus,RestaurantsCafesPartial,2020-05-21T00:00:00,6/9/2020
297,Cyprus,RestaurantsCafesPartial,2020-11-05T00:00:00,12/10/2020
298,Cyprus,RestaurantsCafesPartial,2021-03-15T00:00:00,4/25/2021
299,Cyprus,RestaurantsCafesPartial,2021-05-10T00:00:00,NA
300,Cyprus,StayHomeOrder,2020-03-24T00:00:00,5/3/2020
301,Cyprus,StayHomeOrder,2021-01-10T00:00:00,5/9/2021
302,Cyprus,StayHomeOrderPartial,2020-05-04T00:00:00,5/21/2020
303,Cyprus,StayHomeOrderPartial,2020-10-23T00:00:00,1/9/2021
304,Cyprus,StayHomeOrderPartial,2021-05-10T00:00:00,6/9/2021
305,Cyprus,TeleworkingPartial,2021-01-08T00:00:00,NA
306,Cyprus,WorkplaceClosures,2020-03-16T00:00:00,4/14/2020
307,Cyprus,WorkplaceClosuresPartial,2020-04-15T00:00:00,6/29/2020
308,Czechia,AdaptationOfWorkplace,2020-03-24T00:00:00,5/11/2020
309,Czechia,AdaptationOfWorkplace,2020-12-27T00:00:00,NA
310,Czechia,BanOnAllEvents,2020-10-22T00:00:00,12/3/2020
311,Czechia,BanOnAllEvents,2020-12-18T00:00:00,5/16/2021
312,Czechia,ClosDaycare,2020-03-11T00:00:00,5/11/2020
313,Czechia,ClosDaycare,2021-03-01T00:00:00,4/11/2021
314,Czechia,ClosHigh,2020-03-11T00:00:00,5/10/2020
315,Czechia,ClosHigh,2020-10-14T00:00:00,5/23/2021
316,Czechia,ClosHighPartial,2020-05-11T00:00:00,8/31/2020
317,Czechia,ClosHighPartial,2021-11-22T00:00:00,NA
318,Czechia,ClosPrim,2020-03-11T00:00:00,5/10/2020
319,Czechia,ClosPrim,2020-10-14T00:00:00,11/17/2020
320,Czechia,ClosPrim,2020-12-21T00:00:00,4/11/2021
321,Czechia,ClosPrimPartial,2020-05-11T00:00:00,8/31/2020
322,Czechia,ClosPrimPartial,2020-11-18T00:00:00,11/29/2020
323,Czechia,ClosPrimPartial,2021-04-12T00:00:00,5/16/2021
324,Czechia,ClosPubAny,2020-03-16T00:00:00,4/23/2020
325,Czechia,ClosPubAny,2020-10-14T00:00:00,11/17/2020
326,Czechia,ClosPubAnyPartial,2020-03-10T00:00:00,3/15/2020
327,Czechia,ClosPubAnyPartial,2020-04-24T00:00:00,10/13/2020
328,Czechia,ClosPubAnyPartial,2020-11-18T00:00:00,NA
329,Czechia,ClosSec,2020-03-11T00:00:00,6/7/2020
330,Czechia,ClosSec,2020-10-14T00:00:00,12/6/2020
331,Czechia,ClosSec,2020-12-21T00:00:00,5/23/2021
332,Czechia,ClosSecPartial,2020-06-08T00:00:00,8/31/2020
333,Czechia,ClosSecPartial,2020-12-07T00:00:00,12/20/2020
334,Czechia,ClosSecPartial,2021-05-24T00:00:00,8/31/2021
335,Czechia,EntertainmentVenues,2020-03-16T00:00:00,5/10/2020
336,Czechia,EntertainmentVenues,2020-10-14T00:00:00,12/2/2020
337,Czechia,EntertainmentVenues,2020-12-18T00:00:00,4/11/2021
338,Czechia,EntertainmentVenuesPartial,2020-03-13T00:00:00,3/15/2020
339,Czechia,EntertainmentVenuesPartial,2020-05-11T00:00:00,8/31/2020
340,Czechia,EntertainmentVenuesPartial,2020-10-05T00:00:00,10/13/2020
341,Czechia,EntertainmentVenuesPartial,2020-12-03T00:00:00,12/17/2020
342,Czechia,EntertainmentVenuesPartial,2021-04-12T00:00:00,NA
343,Czechia,GymsSportsCentres,2020-03-13T00:00:00,4/26/2020
344,Czechia,GymsSportsCentres,2020-10-14T00:00:00,12/2/2020
345,Czechia,GymsSportsCentres,2020-12-18T00:00:00,5/16/2021
346,Czechia,GymsSportsCentresPartial,2020-04-27T00:00:00,10/13/2020
347,Czechia,GymsSportsCentresPartial,2020-12-03T00:00:00,12/17/2020
348,Czechia,GymsSportsCentresPartial,2021-05-17T00:00:00,9/30/2021
349,Czechia,HotelsOtherAccommodation,2020-03-16T00:00:00,5/25/2020
350,Czechia,HotelsOtherAccommodation,2020-10-22T00:00:00,12/3/2020
351,Czechia,HotelsOtherAccommodation,2020-12-18T00:00:00,5/23/2021
352,Czechia,HotelsOtherAccommodationPartial,2021-05-24T00:00:00,6/8/2021
353,Czechia,IndoorOver100,2020-03-04T00:00:00,3/12/2020
354,Czechia,IndoorOver100,2020-05-11T00:00:00,5/25/2020
355,Czechia,IndoorOver1000,2020-06-22T00:00:00,8/31/2020
356,Czechia,IndoorOver1000,2021-06-26T00:00:00,NA
357,Czechia,IndoorOver50,2021-05-24T00:00:00,6/7/2021
358,Czechia,IndoorOver500,2020-05-26T00:00:00,6/21/2020
359,Czechia,IndoorOver500,2020-09-01T00:00:00,10/5/2020
360,Czechia,IndoorOver500,2021-06-08T00:00:00,6/25/2021
361,Czechia,MasksMandatoryAllSpaces,2020-03-19T00:00:00,7/24/2020
362,Czechia,MasksMandatoryAllSpaces,2020-09-01T00:00:00,NA
363,Czechia,MasksMandatoryAllSpacesPartial,2020-07-25T00:00:00,8/31/2020
364,Czechia,MassGather50,2020-10-22T00:00:00,6/7/2021
365,Czechia,MassGatherAll,2020-03-04T00:00:00,3/12/2020
366,Czechia,MassGatherAll,2020-05-11T00:00:00,10/5/2020
367,Czechia,MassGatherAll,2020-10-22T00:00:00,NA
368,Czechia,NonEssentialShops,2020-03-14T00:00:00,5/11/2020
369,Czechia,NonEssentialShops,2020-10-22T00:00:00,12/2/2020
370,Czechia,NonEssentialShops,2020-12-27T00:00:00,5/10/2021
371,Czechia,NonEssentialShopsPartial,2020-12-03T00:00:00,12/26/2020
372,Czechia,OutdoorOver100,2020-05-11T00:00:00,5/25/2020
373,Czechia,OutdoorOver100,2021-05-24T00:00:00,6/7/2021
374,Czechia,OutdoorOver1000,2020-06-22T00:00:00,10/5/2020
